,owner-id,owner-age,owner-gender,municipality,neighbourhood,dog-race,dog-birth-year,dog-gender,dog-colour
372,81274,91-100,m,9,92,Labrador Retriever,2005,w,schwarz
373,81281,61-70,m,3,33,Labrador Retriever,2003,m,schwarz
374,81293,81-90,w,10,101,Cocker Spaniel,2010,w,braun/weiss
375,81309,71-80,w,10,102,Yorkshire Terrier,2006,w,schwarz/braun
376,81316,71-80,w,11,119,Yorkshire Terrier,2007,m,blue/tan
377,81322,71-80,w,6,63,Galgo Español,2008,w,gestromt
378,81323,81-90,m,6,63,Alpenländische Dachsbracke,2007,m,hirschrot
379,81325,71-80,w,12,122,Sheltie,2008,w,blue/merle
380,81336,51-60,w,6,63,Malteser,2010,w,weiss
381,81343,31-40,w,11,111,Papillon,2002,w,schwarz/braun/weiss
382,81346,61-70,w,7,71,Terrier,2005,w,tricolor
383,81348,71-80,w,7,71,Golden Retriever,2006,w,golden
384,81352,71-80,w,7,71,Windspiel,2011,m,steelblue
385,81352,71-80,w,7,71,Italienisches Windspiel,2011,w,schwarz/weiss
386,81353,81-90,w,6,63,Rottweiler,2008,m,schwarz/braun
387,81357,51-60,w,2,21,Mittelpudel,2016,w,schwarz
388,81366,61-70,w,10,101,Greyhound,2014,w,schwarz
389,81377,41-50,m,6,63,Bearded Collie,2003,m,braun/weiss
390,81377,41-50,m,6,63,Bearded Collie,2009,m,blau/weiss
391,81377,41-50,m,6,63,Bearded Collie,2006,m,grau/weiss
392,81377,41-50,m,6,63,Bearded Collie,2010,w,braun/weiss
393,81380,81-90,m,12,121,Pudel,2005,w,silber
394,81387,51-60,w,8,82,Mischling gross,2014,w,schwarz/braun
395,81391,81-90,w,7,71,Lagotto Romagnolo,2012,w,braun
396,81397,51-60,w,8,83,Bearded Collie,2015,m,braun/weiss
397,81397,51-60,w,8,83,Bobtail,2004,w,grau
398,81399,81-90,w,11,119,Yorkshire Terrier,2008,w,silber/braun
399,81403,71-80,w,6,63,Border Collie,2009,w,tricolor
400,81403,71-80,w,6,63,Appenzeller,2003,w,schwarz/weiss/braun
401,81407,71-80,m,6,63,Border Collie,2006,w,schwarz
402,81407,71-80,m,6,63,Spinone,2002,w,weiss
403,81424,71-80,w,6,63,Jack Russel Terrier,2007,w,schwarz/braun
404,81430,61-70,w,10,102,Bolonka Zwetna,2012,w,black/tan
